,IXIC,RUA,VIX,DJI,GSPC,RUT,BTCUSDT,LTCUSDT,XRPUSDT,ETHUSDT
2018-02-07,7051.97998,1583.180054,27.73,24893.349609,2681.659912,1507.969971,7599.0,137.21,,754.0
2018-02-08,6777.160156,1525.26001,33.459999,23860.460938,2581.0,1463.790039,7784.02,142.37,,781.66
2018-02-09,6874.490234000001,1546.550049,29.059999,24190.900391,2619.550049,1477.839966,8683.92,163.73,,877.0
2018-02-10,6910.313476333334,1553.420044,27.909999666666664,24327.69010433333,2631.7000326666666,1482.2199706666668,8533.98,154.65,,851.15
2018-02-11,6946.136718666668,1560.290039,26.76000033333333,24464.479817666666,2643.8500163333333,1486.599975333333,8063.88,148.28,,808.99
2018-02-12,6981.959961,1567.160034,25.610001,24601.269531,2656.0,1490.97998,8903.0,161.49,,866.66
2018-02-13,7013.509765999999,1571.52002,24.969999,24640.449219,2662.939941,1494.949951,8539.9,159.63,,841.57
2018-02-14,7143.620117,1593.670044,19.26,24893.490234,2698.629883,1522.099976,9449.99,212.25,,919.09
2018-02-15,7256.430176000002,1612.530029,19.129999,25200.369141,2731.199951,1537.199951,10000.09,220.64,,924.55
2018-02-16,7239.470215,1613.550049,19.459999,25219.380859,2732.219971,1543.550049,10159.98,228.08,,938.67
2018-02-17,7238.180176000001,1611.15753175,19.74499925,25155.72314425,2728.22998075,1540.16003425,11039.55,228.0,,969.99
2018-02-18,7236.890137,1608.7650145,20.0299995,25092.0654295,2724.2399905,1536.7700195,10383.43,213.66,,911.0
2018-02-19,7235.600098000001,1606.37249725,20.31499975,25028.40771475,2720.25000025,1533.38000475,11153.0,221.44,,938.11
2018-02-20,7234.310059,1603.97998,20.6,24964.75,2716.26001,1529.98999,11200.99,228.51,,882.99
2018-02-21,7218.22998,1596.329956,20.02,24797.779297,2701.330078,1531.839966,10437.6,209.6,,835.89
2018-02-22,7210.089844,1597.109985,18.719999,24962.480469,2703.959961,1529.98999,9811.04,192.61,,801.49
2018-02-23,7337.390137,1621.73999,16.49,25309.990234,2747.300049,1549.189941,10131.04,206.4,,851.6
2018-02-24,7365.413411666666,1627.550008,16.259999999999998,25443.083333,2758.0667320000002,1552.569946,9694.51,206.5,,833.94
2018-02-25,7393.436686333333,1633.360026,16.03,25576.176432,2768.833415,1555.949951,9590.0,217.78,,841.19
2018-02-26,7421.459961,1639.170044,15.8,25709.269531,2779.600098,1559.329956,10324.0,218.5,,867.98
2018-02-27,7330.350098000001,1618.089966,18.59,25410.029297,2744.280029,1536.469971,10569.04,214.6,,870.11
2018-02-28,7273.009765999999,1600.150024,19.85,25029.199219,2713.830078,1512.449951,10326.76,201.86,,853.5
2018-03-01,7180.560059,1581.170044,22.469999,24608.980469,2677.669922,1507.390015,10920.0,209.17,,870.63
2018-03-02,7257.870117,1591.380005,19.59,24538.060547,2691.25,1533.170044,11039.0,212.8,,856.28
2018-03-03,7282.150065000001,1597.123331666667,19.30333333333333,24650.29362,2701.146647,1537.4633789999998,11464.48,210.04,,856.02
2018-03-04,7306.430012999999,1602.8666583333334,19.016666666666666,24762.526693,2711.043294,1541.756714,11515.0,213.19,,866.66
2018-03-05,7330.709961,1608.609985,18.73,24874.759766,2720.939941,1546.050049,11454.0,210.14,,849.84
2018-03-06,7372.009765999999,1614.569946,18.360001,24884.119141,2728.1201170000004,1562.199951,10716.48,196.24,,813.11
2018-03-07,7396.649901999999,1615.329956,17.76,24801.359375,2726.800049,1574.530029,9910.0,185.25,,749.9
